stn     lat       lon        fd   efd  dt   edt    N
MP01   23.351    93.572    -3.2   6.8  2.3  0.38  05
MP02   23.298    93.641    -3.7   7.8  2.5  0.33  06
MP03   23.236    93.728     2.0   5.0  1.7  0.40  03
MP05   23.217    93.953     1.0  14.0  1.5  0.40  01
MP06   23.245    94.041    -4.0   7.0  1.7  0.50  01
MP07   23.232    94.134    -1.5   9.0  1.9  0.50  02
MP08   23.260    94.236     0.3  12.7  1.2  0.40  03
MP10   23.181    94.371     6.0  13.0  0.8  0.30  01
MP16   22.999    95.154   -20.0  20.0  0.8  0.40  01
MP18   23.048    95.535   -13.5  23.5  0.8  0.50  02
MP20   23.055    95.934    -8.0  14.7  1.1  0.43  03
MP21   23.120    96.124   -12.5  12.5  0.9  0.45  02
MP22   23.045    95.832   -26.0  25.5  1.1  0.45  02
MP23   23.105    96.018    -4.5  12.5  1.6  0.45  02
MS02   23.606    93.696     4.2   7.0  2.3  0.47  06
MS03   23.153    93.437    -9.8   8.2  2.1  0.33  04
MS04   22.830    93.996    41.5  13.5  0.9  0.30  02
MS05   22.586    94.509     3.5  24.5  0.9  0.50  02
MS06   23.521    95.664   -10.5  16.5  1.2  0.45  02
MS07   22.340    95.772    -9.5  18.0  1.1  0.50  02
MS08   22.691    95.321   -25.0  16.0  0.6  0.10  01
MS09   23.478    96.080   -10.5  17.5  0.9  0.35  02
MS10   23.316    95.241     6.0  24.0  0.7  0.40  03
MS11   23.573    94.055    -2.0  20.0  0.7  0.40  01
EW01   20.152    92.877   -35.2   9.1  0.8  0.19  08
EW02   19.795    94.043   -21.7   8.1  1.7  0.26  13
EW04   20.342    94.517   -18.7  12.5  0.6  0.23  04
EW06   20.653    96.583   -33.0   9.7  1.2  0.40  03
EW07   20.786    97.138   -49.3  12.3  0.9  0.30  03
M001   21.245    95.930   -27.7  10.8  1.3  0.33  11
M002   20.835    96.045    -2.7  12.7  0.8  0.40  03
M003   18.981    96.317   -24.0   9.5  1.6  0.38  06
M004   19.305    96.182   -16.9  12.7  1.3  0.34  07
M005   20.026    95.956   -18.6   8.8  1.2  0.25  11
M006   19.544    96.199   -17.0  10.8  1.6  0.34  08
M007   20.473    95.616   -40.1  11.1  1.3  0.42  12
M008   20.043    95.556   -21.1  10.0  0.9  0.30  03
M009   19.933    96.187   -30.0   3.0  1.3  0.10  01
M010   20.478    96.216   -22.3  10.3  1.5  0.45  06
M011   18.420    96.398   -22.5   7.0  1.7  0.25  02
M012   17.971    95.798   -29.0   7.0  0.8  0.10  01
M021   21.473    94.137     3.3  11.8  1.3  0.45  04
M022   21.318    94.827    16.0   7.0  1.3  0.30  01
M023   22.184    94.986   -37.9  11.1  1.2  0.39  09
M024   23.193    93.990     2.0  21.0  1.4  0.45  02
M025   23.193    95.540   -15.2  23.0  0.8  0.42  09
M026   23.655    94.407    43.0  10.0  1.0  0.32  06
M028   24.320    96.007   -14.8  14.2  1.2  0.37  19
M029   25.987    95.699    47.8  13.2  1.2  0.38  12
GF01   22.434    94.847   -37.0   6.0  1.6  0.40  01
GF02   24.778    97.043     3.0  14.0  1.2  0.45  02
GF05   23.472    96.646   -22.0   7.0  1.1  0.20  02
GF07   22.922    93.685   -14.6   7.3  2.0  0.34  20
GF08   24.230    96.777    -7.0  11.5  0.7  0.40  02
GF09   25.137    96.219   -14.8  17.2  1.1  0.45  04
GF11   24.189    96.337     0.0  18.3  1.1  0.43  06
GF12   27.283    97.584    69.0  10.5  0.7  0.15  02
GF14   27.347    97.397    44.0  23.0  0.7  0.30  01
GF16   25.667    95.412    30.5  12.5  1.1  0.25  02
GF17   25.283    95.232    37.5  18.2  0.9  0.40  04
GF19   25.448    94.957     2.0  10.2  1.2  0.35  04
GF30   24.392    95.853    -2.0  11.0  1.5  0.50  01
HKA_   22.649    93.600    -2.0   8.3  2.1  0.41  27
KTA_   24.179    96.340     4.9   7.4  1.3  0.36  05
MDY_   22.016    96.112   -22.5  14.1  1.1  0.36  21
NGU_   21.205    94.916   -27.9  11.5  1.2  0.44  10
SIM_   20.133    92.885   -27.1  15.0  0.8  0.30  04
TGI_   20.768    97.034   -24.1  20.8  0.8  0.35  11
TMU_   24.230    94.300     0.3  14.8  1.4  0.47  04
YGN_   16.865    96.153   -29.3  13.1  1.1  0.37  07
CMMT   18.814    98.944    86.5  14.5  1.0  0.33  04
LOEI   17.509   101.624   -76.0   4.0  1.9  0.50  01
MHIT   19.315    97.963     4.0   6.0  0.7  0.20  01
